Mchirp q EOS_ID alpha zeta L
0.119089487299637531E+01 0.152754293844608391E+01 0.475234439590788043E+04 -0.149212671692584742E+01 0.141068972101761753E+00 0.881398826209010977E+01
0.118991010759679661E+01 0.160533035605329077E+01 0.498965032420098669E+04 -0.172932854154172921E+01 0.650843286749205191E-01 0.881439754877592918E+01
0.119143754257285561E+01 0.116612871504666260E+01 0.386979375727273100E+04 -0.157684960743320035E+01 0.701162993689245229E-01 0.881446411006249519E+01
0.118775386206952072E+01 0.105773998622927357E+01 0.494414276549596343E+04 -0.180678195519923568E+01 0.263477421451984828E+00 0.882085977407704647E+01
0.119074293162509615E+01 0.138785094843470214E+01 0.328657618583305202E+04 -0.184572960469671132E+01 0.156212803166467684E+00 0.883322838038606584E+01
0.118653191105071798E+01 0.162861190112088794E+01 0.404553441135355069E+04 -0.167564698919320154E+01 0.387938628676841257E+00 0.883714334139675728E+01
0.118829011509844285E+01 0.146286850768889964E+01 0.493900809608416967E+04 -0.199585492776579421E+01 0.128100503388545395E+00 0.884107545904040037E+01
0.119188279937824193E+01 0.117597666211198582E+01 0.492551885339407545E+04 -0.162661731915292362E+01 0.282590136791707192E+00 0.884612706430795548E+01
0.118810178984002146E+01 0.103548316441553734E+01 0.431736806325637372E+04 -0.167655761851508167E+01 0.322206663366652213E+00 0.884736290777040502E+01
0.118430598454091318E+01 0.123595291902908477E+01 0.465055076427735003E+04 -0.143279153810482818E+01 0.137189895750879226E+00 0.886007107519473891E+01
0.118659325100340096E+01 0.113044852853968303E+01 0.460531118627852356E+04 -0.186325737055102936E+01 0.199089890618577070E+00 0.886200642788210224E+01
0.119192552618564007E+01 0.148848583434234993E+01 0.387511705508105251E+04 -0.144245355755342652E+01 0.869670538314685493E-01 0.887330479961267748E+01
0.118538640433038611E+01 0.132593073899733471E+01 0.283695938343073294E+04 -0.135361913122115407E+01 0.201642719131760739E+00 0.890967996194173395E+01
0.119047470879892936E+01 0.160736948512508926E+01 0.459357426022886466E+04 -0.195062127534868734E+01 0.351616350054924989E-01 0.891962456707368290E+01
0.119200144263109786E+01 0.122791767120361328E+01 0.368099927902221680E+04 -0.148449206352233887E+01 0.441090762615203857E-01 0.892222719715404189E+01
0.119224217098068186E+01 0.144928633059784251E+01 0.371771254131099886E+04 -0.151038023023513857E+01 0.384045534797008870E+00 0.892690121774205103E+01
0.118451733297622885E+01 0.133014593307749784E+01 0.413664158500187204E+04 -0.155316978957041862E+01 0.107027020737324605E+00 0.893143028035214215E+01
0.118641393379775795E+01 0.112519261279605143E+01 0.379863288140210898E+04 -0.178647121574596901E+01 0.229155617079291940E+00 0.894606243406935953E+01
0.119074132469059735E+01 0.115928657304621652E+01 0.293933473632187815E+04 -0.156449519074928700E+01 0.461483728908961055E+00 0.895306897855383710E+01
0.119201728652005579E+01 0.132580304145812988E+01 0.471474051475524902E+04 -0.179304099082946777E+01 0.132428795099258423E+00 0.895491629430655678E+01
0.118716338942505173E+01 0.156079253761704928E+01 0.357043535488409816E+04 -0.181122788787856104E+01 0.199312631617374197E-01 0.895532440169027488E+01
0.118664375446423609E+01 0.145036159743357174E+01 0.370379036907435011E+04 -0.193158023435438575E+01 0.289021500044014779E+00 0.895906684671914810E+01
0.118860490255966189E+01 0.155287108039497568E+01 0.480556029499045326E+04 -0.193150020352380980E+01 0.446064415141201265E+00 0.896768791519230035E+01
0.119253510028529108E+01 0.112191962489236863E+01 0.361680412226135195E+04 -0.127375402806572913E+01 0.379151899835040440E+00 0.897052164235177152E+01
0.118571052634661123E+01 0.158597775895953075E+01 0.421607808217381353E+04 -0.173142833050910538E+01 0.399146774866804055E+00 0.899429825063073274E+01
0.118485031900886084E+01 0.160653782903965014E+01 0.452443949230064391E+04 -0.176742233299630769E+01 0.282211799899998728E+00 0.899461863790708627E+01
0.118527339452328029E+01 0.146502959728240967E+01 0.401394426822662354E+04 -0.150966882705688477E+01 0.461921513080596924E+00 0.899617175070833142E+01
0.119079892209139815E+01 0.119110626159241173E+01 0.381394928200765298E+04 -0.168242408478347683E+01 0.683151476508498251E-01 0.900636843717643387E+01
0.119236541678404051E+01 0.128880434742295291E+01 0.418620613002172558E+04 -0.182596726507412588E+01 0.175000318202129163E+00 0.900645039769282008E+01
